SYMBOL,Gene,Feature
POLB,ENSG00000070501,ENST00000518925
POLB,ENSG00000070501,ENST00000524208
,,ENSR00002098461
,,
,,
,,
HEY1,ENSG00000164683,ENST00000519075
RP11-26J3.1,ENSG00000249328,ENST00000502766
HEY1,ENSG00000164683,ENST00000518733
HEY1,ENSG00000164683,ENST00000435063
HEY1,ENSG00000164683,ENST00000523531
HEY1,ENSG00000164683,ENST00000337919
HEY1,ENSG00000164683,ENST00000521111
RP11-27N21.3,ENSG00000272138,ENST00000607172
HEY1,ENSG00000164683,ENST00000523976
HEY1,ENSG00000164683,ENST00000354724
TMEM55A,ENSG00000155099,ENST00000285419
TMEM55A,ENSG00000155099,ENST00000518359
TMEM55A,ENSG00000155099,ENST00000520014
TMEM55A,ENSG00000155099,ENST00000520709
TMEM55A,ENSG00000155099,ENST00000518869
RIMS2,ENSG00000176406,ENST00000406091
RIMS2,ENSG00000176406,ENST00000436393
RIMS2,ENSG00000176406,ENST00000262231
RIMS2,ENSG00000176406,ENST00000507740
RIMS2,ENSG00000176406,ENST00000626043
RIMS2,ENSG00000176406,ENST00000504942
RIMS2,ENSG00000176406,ENST00000507677
RIMS2,ENSG00000176406,ENST00000408894
RIMS2,ENSG00000176406,ENST00000515551
OXR1,ENSG00000164830,ENST00000435082
OXR1,ENSG00000164830,ENST00000452423
OXR1,ENSG00000164830,ENST00000442977
OXR1,ENSG00000164830,ENST00000445937
OXR1,ENSG00000164830,ENST00000517686
OXR1,ENSG00000164830,ENST00000497705
OXR1,ENSG00000164830,ENST00000517455
OXR1,ENSG00000164830,ENST00000438229
OXR1,ENSG00000164830,ENST00000312046
OXR1,ENSG00000164830,ENST00000531443
OXR1,ENSG00000164830,ENST00000517566
MIR1208,ENSG00000221261,ENST00000408334
,,ENSR00002108960
KCNQ3,ENSG00000184156,ENST00000621976
KCNQ3,ENSG00000184156,ENST00000519589
KCNQ3,ENSG00000184156,ENST00000519445
KCNQ3,ENSG00000184156,ENST00000388996
KCNQ3,ENSG00000184156,ENST00000521134
DENND3,ENSG00000105339,ENST00000424248
DENND3,ENSG00000105339,ENST00000262585
DENND3,ENSG00000105339,ENST00000523066
DENND3,ENSG00000105339,ENST00000519811
DENND3,ENSG00000105339,ENST00000518668
DENND3,ENSG00000105339,ENST00000518806
DENND3,ENSG00000105339,ENST00000517985
DENND3,ENSG00000105339,ENST00000520482
SCRIB,ENSG00000180900,ENST00000546337
SCRIB,ENSG00000180900,ENST00000377533
RP11-429J17.8,ENSG00000214733,ENST00000527139
SCRIB,ENSG00000180900,ENST00000525051
SCRIB,ENSG00000180900,ENST00000531163
SCRIB,ENSG00000180900,ENST00000320476
RP11-429J17.8,ENSG00000214733,ENST00000532625
SCRIB,ENSG00000180900,ENST00000356994
SCRIB,ENSG00000180900,ENST00000526832
RP11-429J17.8,ENSG00000214733,ENST00000534089
,,ENSR00001404247
,,ENSR00002111223
SLC52A2,ENSG00000185803,ENST00000526779
SLC52A2,ENSG00000185803,ENST00000526338
SLC52A2,ENSG00000185803,ENST00000532815
FBXL6,ENSG00000182325,ENST00000530142
FBXL6,ENSG00000182325,ENST00000526524
TMEM249,ENSG00000261587,ENST00000561638
SLC52A2,ENSG00000185803,ENST00000526752
SLC52A2,ENSG00000185803,ENST00000526891
GS1-393G12.13,ENSG00000271698,ENST00000531225
SLC52A2,ENSG00000185803,ENST00000534725
TMEM249,ENSG00000261587,ENST00000565365
FBXL6,ENSG00000182325,ENST00000530687
FBXL6,ENSG00000182325,ENST00000527000
FBXL6,ENSG00000182325,ENST00000524909
SLC52A2,ENSG00000185803,ENST00000524541
SLC52A2,ENSG00000185803,ENST00000402965
SLC52A2,ENSG00000185803,ENST00000530047
FBXL6,ENSG00000182325,ENST00000331890
SLC52A2,ENSG00000185803,ENST00000527078
FBXL6,ENSG00000182325,ENST00000524492
SLC52A2,ENSG00000185803,ENST00000329994
FBXL6,ENSG00000182325,ENST00000529279
TMEM249,ENSG00000261587,ENST00000562477
SLC52A2,ENSG00000185803,ENST00000533662
SLC52A2,ENSG00000185803,ENST00000532887
FBXL6,ENSG00000182325,ENST00000455319
COMMD5,ENSG00000170619,ENST00000533270
COMMD5,ENSG00000170619,ENST00000305103
ZNF7,ENSG00000147789,ENST00000525266
COMMD5,ENSG00000170619,ENST00000543949
COMMD5,ENSG00000170619,ENST00000450361
COMMD5,ENSG00000170619,ENST00000530332
COMMD5,ENSG00000170619,ENST00000402718
COMMD5,ENSG00000170619,ENST00000529143
AF235103.1,ENSG00000263640,ENST00000578937
,,ENSR00002111446
CD274,ENSG00000120217,ENST00000381573
CD274,ENSG00000120217,ENST00000381577
CD274,ENSG00000120217,ENST00000498261
CD274,ENSG00000120217,ENST00000474218
KDM4C,ENSG00000107077,ENST00000438023
KDM4C,ENSG00000107077,ENST00000381309
KDM4C,ENSG00000107077,ENST00000381306
KDM4C,ENSG00000107077,ENST00000543771
RP11-146B14.1,ENSG00000274527,ENST00000535193
KDM4C,ENSG00000107077,ENST00000496464
RP11-146B14.1,ENSG00000274527,ENST00000536108
KDM4C,ENSG00000107077,ENST00000489243
,,ENSR00002112583
FREM1,ENSG00000164946,ENST00000380875
FREM1,ENSG00000164946,ENST00000380880
FREM1,ENSG00000164946,ENST00000486223
FREM1,ENSG00000164946,ENST00000427623
FREM1,ENSG00000164946,ENST00000422223
FREM1,ENSG00000164946,ENST00000380894
,,ENSR00002113224
,,
KIF24,ENSG00000186638,ENST00000379166
SERPINH1P1,ENSG00000229207,ENST00000419794
CBWD3,ENSG00000196873,ENST00000360171
CBWD3,ENSG00000196873,ENST00000612050
CBWD3,ENSG00000196873,ENST00000611426
CBWD3,ENSG00000196873,ENST00000621474
CBWD3,ENSG00000196873,ENST00000615061
CBWD3,ENSG00000196873,ENST00000377344
CBWD3,ENSG00000196873,ENST00000614398
CBWD3,ENSG00000196873,ENST00000469687
CBWD3,ENSG00000196873,ENST00000377342
CBWD3,ENSG00000196873,ENST00000622755
CBWD3,ENSG00000196873,ENST00000621396
CBWD3,ENSG00000196873,ENST00000618217
CBWD3,ENSG00000196873,ENST00000622817
CBWD3,ENSG00000196873,ENST00000616550
CBWD3,ENSG00000196873,ENST00000618921
GNAQ,ENSG00000156052,ENST00000411677
GNAQ,ENSG00000156052,ENST00000286548
,,ENSR00002118835
FRMD3,ENSG00000172159,ENST00000621208
FRMD3,ENSG00000172159,ENST00000304195
FRMD3,ENSG00000172159,ENST00000376434
FRMD3,ENSG00000172159,ENST00000376438
FRMD3,ENSG00000172159,ENST00000431299
OR13C5,ENSG00000277556,ENST00000374779
PPP6C,ENSG00000119414,ENST00000456642
PPP6C,ENSG00000119414,ENST00000373547
PPP6C,ENSG00000119414,ENST00000451402
PPP6C,ENSG00000119414,ENST00000415905
SLC27A4,ENSG00000167114,ENST00000372870
SLC27A4,ENSG00000167114,ENST00000300456
,,ENSR00002127232
GPR107,ENSG00000148358,ENST00000462907
GPR107,ENSG00000148358,ENST00000347136
GPR107,ENSG00000148358,ENST00000610997
GPR107,ENSG00000148358,ENST00000372406
GPR107,ENSG00000148358,ENST00000493417
GPR107,ENSG00000148358,ENST00000372410
NUP214,ENSG00000126883,ENST00000483497
NUP214,ENSG00000126883,ENST00000411637
NUP214,ENSG00000126883,ENST00000359428
NUP214,ENSG00000126883,ENST00000451030
NUP214,ENSG00000126883,ENST00000453861
WDR5,ENSG00000196363,ENST00000358625
FAM171A1,ENSG00000148468,ENST00000378116
FAM171A1,ENSG00000148468,ENST00000455654
STAM,ENSG00000136738,ENST00000377500
STAM,ENSG00000136738,ENST00000377524
STAM,ENSG00000136738,ENST00000445846
YME1L1,ENSG00000136758,ENST00000375972
YME1L1,ENSG00000136758,ENST00000326799
YME1L1,ENSG00000136758,ENST00000376016
YME1L1,ENSG00000136758,ENST00000613434
SLC9B1P3,ENSG00000233867,ENST00000452667
NRG3,ENSG00000185737,ENST00000545131
NRG3,ENSG00000185737,ENST00000555784
NRG3,ENSG00000185737,ENST00000602794
NRG3,ENSG00000185737,ENST00000537893
NRG3,ENSG00000185737,ENST00000404576
NRG3,ENSG00000185737,ENST00000404547
NRG3,ENSG00000185737,ENST00000372142
NRG3,ENSG00000185737,ENST00000556918
NRG3,ENSG00000185737,ENST00000372141
CCSER2,ENSG00000107771,ENST00000466105
CCSER2,ENSG00000107771,ENST00000372088
CCSER2,ENSG00000107771,ENST00000494144
CCSER2,ENSG00000107771,ENST00000543283
CCSER2,ENSG00000107771,ENST00000493409
CCSER2,ENSG00000107771,ENST00000224756
CCSER2,ENSG00000107771,ENST00000480006
CCSER2,ENSG00000107771,ENST00000494586
CCSER2,ENSG00000107771,ENST00000498300
ACTA2,ENSG00000107796,ENST00000458208
ACTA2,ENSG00000107796,ENST00000224784
STAMBPL1,ENSG00000138134,ENST00000371927
ACTA2,ENSG00000107796,ENST00000415557
ACTA2,ENSG00000107796,ENST00000458159
ACTA2,ENSG00000107796,ENST00000482085
ACTA2,ENSG00000107796,ENST00000488967
ACTA2,ENSG00000107796,ENST00000480297
,,ENSR00001789148
FAF2P1,ENSG00000228759,ENST00000429974
BTAF1,ENSG00000095564,ENST00000471217
BTAF1,ENSG00000095564,ENST00000544642
BTAF1,ENSG00000095564,ENST00000265990
BTAF1,ENSG00000095564,ENST00000476401
MMS19,ENSG00000155229,ENST00000422685
MMS19,ENSG00000155229,ENST00000327238
MMS19,ENSG00000155229,ENST00000355839
MMS19,ENSG00000155229,ENST00000370782
MMS19,ENSG00000155229,ENST00000438925
MMS19,ENSG00000155229,ENST00000441194
AL355490.1,ENSG00000264677,ENST00000577864
MMS19,ENSG00000155229,ENST00000439048
MMS19,ENSG00000155229,ENST00000415383
MMS19,ENSG00000155229,ENST00000448660
MMS19,ENSG00000155229,ENST00000437002
MMS19,ENSG00000155229,ENST00000483626
MMS19,ENSG00000155229,ENST00000477575
TCF7L2,ENSG00000148737,ENST00000355717
TCF7L2,ENSG00000148737,ENST00000346198
TCF7L2,ENSG00000148737,ENST00000538897
TCF7L2,ENSG00000148737,ENST00000369397
TCF7L2,ENSG00000148737,ENST00000536810
TCF7L2,ENSG00000148737,ENST00000355995
TCF7L2,ENSG00000148737,ENST00000352065
TCF7L2,ENSG00000148737,ENST00000542695
TCF7L2,ENSG00000148737,ENST00000349937
TCF7L2,ENSG00000148737,ENST00000545257
TCF7L2,ENSG00000148737,ENST00000629706
TCF7L2,ENSG00000148737,ENST00000369395
TCF7L2,ENSG00000148737,ENST00000627217
TCF7L2,ENSG00000148737,ENST00000534894
TCF7L2,ENSG00000148737,ENST00000543371
,,ENSR00001792859
NSMCE4A,ENSG00000107672,ENST00000459911
NSMCE4A,ENSG00000107672,ENST00000369023
NSMCE4A,ENSG00000107672,ENST00000464321
NSMCE4A,ENSG00000107672,ENST00000369017
RP11-500G22.5,ENSG00000273891,ENST00000620490
RP11-500G22.4,ENSG00000276742,ENST00000618971
NSMCE4A,ENSG00000107672,ENST00000489266
NSMCE4A,ENSG00000107672,ENST00000468209
NSMCE4A,ENSG00000107672,ENST00000477289
NSMCE4A,ENSG00000107672,ENST00000483541
MICAL2,ENSG00000133816,ENST00000525216
MICAL2,ENSG00000133816,ENST00000379612
MICAL2,ENSG00000133816,ENST00000525075
MICAL2,ENSG00000133816,ENST00000342902
MICAL2,ENSG00000133816,ENST00000525979
MICAL2,ENSG00000133816,ENST00000526475
MICAL2,ENSG00000133816,ENST00000537344
MICAL2,ENSG00000133816,ENST00000534563
MICAL2,ENSG00000133816,ENST00000530691
MICAL2,ENSG00000133816,ENST00000528931
MICAL2,ENSG00000133816,ENST00000256194
MICAL2,ENSG00000133816,ENST00000527546
,,ENSR00001798132
MYOD1,ENSG00000129152,ENST00000250003
,,ENSR00001799071
CTD-2140G10.2,ENSG00000254768,ENST00000530569
SLC17A6,ENSG00000091664,ENST00000263160
CTD-2140G10.2,ENSG00000254768,ENST00000531304
SLC17A6,ENSG00000091664,ENST00000534115
CTD-2140G10.2,ENSG00000254768,ENST00000528009
NAT10,ENSG00000135372,ENST00000531159
NAT10,ENSG00000135372,ENST00000257829
NAT10,ENSG00000135372,ENST00000615292
NAT10,ENSG00000135372,ENST00000527971
CAT,ENSG00000121691,ENST00000525707
CAT,ENSG00000121691,ENST00000241052
CAT,ENSG00000121691,ENST00000534710
TMEM262,ENSG00000187066,ENST00000524632
ZFPL1,ENSG00000162300,ENST00000526289
ZFPL1,ENSG00000162300,ENST00000532200
ZFPL1,ENSG00000162300,ENST00000526945
ZFPL1,ENSG00000162300,ENST00000530744
CDCA5,ENSG00000146670,ENST00000533015
CDCA5,ENSG00000146670,ENST00000275517
TMEM262,ENSG00000187066,ENST00000525544
ZFPL1,ENSG00000162300,ENST00000531761
ZFPL1,ENSG00000162300,ENST00000528123
ZFPL1,ENSG00000162300,ENST00000453524
CDCA5,ENSG00000146670,ENST00000479032
TMEM262,ENSG00000187066,ENST00000334821
CDCA5,ENSG00000146670,ENST00000525464
ZFPL1,ENSG00000162300,ENST00000294258
CDCA5,ENSG00000146670,ENST00000404147
ZFPL1,ENSG00000162300,ENST00000530488
CDCA5,ENSG00000146670,ENST00000524733
CDCA5,ENSG00000146670,ENST00000531401
ZFPL1,ENSG00000162300,ENST00000533216
CDCA5,ENSG00000146670,ENST00000527430
ZFPL1,ENSG00000162300,ENST00000526440
ZFPL1,ENSG00000162300,ENST00000525509
ZFPL1,ENSG00000162300,ENST00000526334
TMEM262,ENSG00000187066,ENST00000524603
ZFPL1,ENSG00000162300,ENST00000526791
CDCA5,ENSG00000146670,ENST00000462902
CDCA5,ENSG00000146670,ENST00000529290
TMEM262,ENSG00000187066,ENST00000528029
TMEM262,ENSG00000187066,ENST00000530719
,,ENSR00001804275
CHRDL2,ENSG00000054938,ENST00000534276
CHRDL2,ENSG00000054938,ENST00000263671
CHRDL2,ENSG00000054938,ENST00000376332
CHRDL2,ENSG00000054938,ENST00000622063
CHRDL2,ENSG00000054938,ENST00000528789
CHRDL2,ENSG00000054938,ENST00000534159
CHRDL2,ENSG00000054938,ENST00000528471
CHRDL2,ENSG00000054938,ENST00000376324
,,ENSR00001806319
,,
TBCEL,ENSG00000154114,ENST00000524726
AP000646.1,ENSG00000281492,ENST00000630680
TBCEL,ENSG00000154114,ENST00000533712
TBCEL,ENSG00000154114,ENST00000284259
TBCEL,ENSG00000154114,ENST00000533169
TBCEL,ENSG00000154114,ENST00000531148
TBCEL,ENSG00000154114,ENST00000529397
TBCEL,ENSG00000154114,ENST00000533134
TBCEL,ENSG00000154114,ENST00000422003
PZP,ENSG00000126838,ENST00000261336
PZP,ENSG00000126838,ENST00000543108
PZP,ENSG00000126838,ENST00000539983
PZP,ENSG00000126838,ENST00000546116
PZP,ENSG00000126838,ENST00000546197
PZP,ENSG00000126838,ENST00000535230
PZP,ENSG00000126838,ENST00000540995
KLRD1,ENSG00000134539,ENST00000381908
KLRD1,ENSG00000134539,ENST00000350274
KLRD1,ENSG00000134539,ENST00000543420
KLRD1,ENSG00000134539,ENST00000544747
KLRD1,ENSG00000134539,ENST00000539374
KLRD1,ENSG00000134539,ENST00000538997
KLRD1,ENSG00000134539,ENST00000336164
KLRD1,ENSG00000134539,ENST00000540271
KLRD1,ENSG00000134539,ENST00000543777
KLRD1,ENSG00000134539,ENST00000344825
PYROXD1,ENSG00000121350,ENST00000538582
PYROXD1,ENSG00000121350,ENST00000375266
TCEB1P31,ENSG00000256021,ENST00000540463
PYROXD1,ENSG00000121350,ENST00000240651
PYROXD1,ENSG00000121350,ENST00000543476
PYROXD1,ENSG00000121350,ENST00000544970
KRT75,ENSG00000170454,ENST00000252245
RP11-1020M18.10,ENSG00000257500,ENST00000548135
KRT90P,ENSG00000257844,ENST00000549264
AVPR1A,ENSG00000166148,ENST00000550940
RP11-715H19.2,ENSG00000279444,ENST00000624438
AVPR1A,ENSG00000166148,ENST00000299178
C12orf66,ENSG00000174206,ENST00000311915
C12orf66,ENSG00000174206,ENST00000398055
C12orf66,ENSG00000174206,ENST00000544871
,,ENSR00001823909
APAF1,ENSG00000120868,ENST00000550527
APAF1,ENSG00000120868,ENST00000547045
APAF1,ENSG00000120868,ENST00000357310
APAF1,ENSG00000120868,ENST00000333991
APAF1,ENSG00000120868,ENST00000547743
IKBIP,ENSG00000166130,ENST00000342502
IKBIP,ENSG00000166130,ENST00000393042
APAF1,ENSG00000120868,ENST00000551964
APAF1,ENSG00000120868,ENST00000359972
APAF1,ENSG00000120868,ENST00000549007
IKBIP,ENSG00000166130,ENST00000299157
APAF1,ENSG00000120868,ENST00000552268
ALDH1L2,ENSG00000136010,ENST00000552270
ALDH1L2,ENSG00000136010,ENST00000258494
ALDH1L2,ENSG00000136010,ENST00000549335
C12orf45,ENSG00000151131,ENST00000548583
PTPN11,ENSG00000179295,ENST00000392597
PTPN11,ENSG00000179295,ENST00000351677
DTX1,ENSG00000135144,ENST00000547730
RASAL1,ENSG00000111344,ENST00000551051
RASAL1,ENSG00000111344,ENST00000446861
DTX1,ENSG00000135144,ENST00000257600
DTX1,ENSG00000135144,ENST00000547974
RASAL1,ENSG00000111344,ENST00000261729
RASAL1,ENSG00000111344,ENST00000548055
RASAL1,ENSG00000111344,ENST00000418411
RASAL1,ENSG00000111344,ENST00000546530
RASAL1,ENSG00000111344,ENST00000546727
RASAL1,ENSG00000111344,ENST00000549444
TPCN1,ENSG00000186815,ENST00000541517
TPCN1,ENSG00000186815,ENST00000546781
TPCN1,ENSG00000186815,ENST00000551127
TPCN1,ENSG00000186815,ENST00000428632
TPCN1,ENSG00000186815,ENST00000546503
TPCN1,ENSG00000186815,ENST00000392569
TPCN1,ENSG00000186815,ENST00000550785
TPCN1,ENSG00000186815,ENST00000335509
TPCN1,ENSG00000186815,ENST00000552077
RP11-326L9.2,ENSG00000277319,ENST00000611867
ATP7B,ENSG00000123191,ENST00000400366
ATP7B,ENSG00000123191,ENST00000482841
ATP7B,ENSG00000123191,ENST00000400370
ATP7B,ENSG00000123191,ENST00000466629
ATP7B,ENSG00000123191,ENST00000418097
ATP7B,ENSG00000123191,ENST00000344297
ATP7B,ENSG00000123191,ENST00000448424
ATP7B,ENSG00000123191,ENST00000242839
,,ENSR00001839304
PCCA,ENSG00000175198,ENST00000376286
PCCA,ENSG00000175198,ENST00000376285
PCCA,ENSG00000175198,ENST00000458283
PCCA,ENSG00000175198,ENST00000376279
PCCA-AS1,ENSG00000234650,ENST00000451662
PCCA,ENSG00000175198,ENST00000413170
LINC00431,ENSG00000225760,ENST00000440735
,,ENSR00001844594
CGRRF1,ENSG00000100532,ENST00000556216
CGRRF1,ENSG00000100532,ENST00000557512
CGRRF1,ENSG00000100532,ENST00000554791
CGRRF1,ENSG00000100532,ENST00000557184
CGRRF1,ENSG00000100532,ENST00000557317
CGRRF1,ENSG00000100532,ENST00000557755
CGRRF1,ENSG00000100532,ENST00000216420
ATG14,ENSG00000126775,ENST00000247178
ATG14,ENSG00000126775,ENST00000558189
RP11-618G20.1,ENSG00000258964,ENST00000555937
SNAPC1,ENSG00000023608,ENST00000216294
RP11-486O13.4,ENSG00000257759,ENST00000556646
ADAM20,ENSG00000134007,ENST00000256389
HEATR4,ENSG00000187105,ENST00000557603
RP3-414A15.2,ENSG00000258695,ENST00000555972
HEATR4,ENSG00000187105,ENST00000556455
RP3-414A15.11,ENSG00000258443,ENST00000553394
HEATR4,ENSG00000187105,ENST00000563329
HEATR4,ENSG00000187105,ENST00000553558
HEATR4,ENSG00000187105,ENST00000334988
VIPAS39,ENSG00000151445,ENST00000553691
VIPAS39,ENSG00000151445,ENST00000343765
VIPAS39,ENSG00000151445,ENST00000327028
VIPAS39,ENSG00000151445,ENST00000556412
VIPAS39,ENSG00000151445,ENST00000557658
VIPAS39,ENSG00000151445,ENST00000448935
VIPAS39,ENSG00000151445,ENST00000553888
VIPAS39,ENSG00000151445,ENST00000555854
VIPAS39,ENSG00000151445,ENST00000553576
TDP1,ENSG00000042088,ENST00000553527
TDP1,ENSG00000042088,ENST00000553617
TDP1,ENSG00000042088,ENST00000554976
TDP1,ENSG00000042088,ENST00000393454
TDP1,ENSG00000042088,ENST00000554180
TDP1,ENSG00000042088,ENST00000545686
TDP1,ENSG00000042088,ENST00000555880
TDP1,ENSG00000042088,ENST00000335725
TDP1,ENSG00000042088,ENST00000553989
TDP1,ENSG00000042088,ENST00000555565
TDP1,ENSG00000042088,ENST00000556867
TDP1,ENSG00000042088,ENST00000555178
TDP1,ENSG00000042088,ENST00000556498
TDP1,ENSG00000042088,ENST00000393452
TDP1,ENSG00000042088,ENST00000545686
TDP1,ENSG00000042088,ENST00000555880
TDP1,ENSG00000042088,ENST00000335725
TDP1,ENSG00000042088,ENST00000555565
TDP1,ENSG00000042088,ENST00000393452
TDP1,ENSG00000042088,ENST00000555178
TDP1,ENSG00000042088,ENST00000557782
TDP1,ENSG00000042088,ENST00000556063
TDP1,ENSG00000042088,ENST00000554976
TDP1,ENSG00000042088,ENST00000393454
TDP1,ENSG00000042088,ENST00000553617
TDP1,ENSG00000042088,ENST00000554180
,,
HERC2P10,ENSG00000259845,ENST00000570209
RYR3,ENSG00000198838,ENST00000415757
RYR3,ENSG00000198838,ENST00000622037
RYR3,ENSG00000198838,ENST00000389232
CASC5,ENSG00000137812,ENST00000528967
CASC5,ENSG00000137812,ENST00000346991
CASC5,ENSG00000137812,ENST00000399668
CASC5,ENSG00000137812,ENST00000532406
CASC5,ENSG00000137812,ENST00000526913
CASC5,ENSG00000137812,ENST00000532347
TRPM7,ENSG00000092439,ENST00000560955
TRPM7,ENSG00000092439,ENST00000313478
VPS13C,ENSG00000129003,ENST00000261517
VPS13C,ENSG00000129003,ENST00000395898
VPS13C,ENSG00000129003,ENST00000395896
VPS13C,ENSG00000129003,ENST00000249837
UACA,ENSG00000137831,ENST00000379983
UACA,ENSG00000137831,ENST00000539319
UACA,ENSG00000137831,ENST00000322954
UACA,ENSG00000137831,ENST00000560441
UACA,ENSG00000137831,ENST00000560167
UACA,ENSG00000137831,ENST00000558758
UACA,ENSG00000137831,ENST00000560523
CTD-2311M21.2,ENSG00000260266,ENST00000564109
CYP11A1,ENSG00000140459,ENST00000358632
CYP11A1,ENSG00000140459,ENST00000569662
CYP11A1,ENSG00000140459,ENST00000566674
CYP11A1,ENSG00000140459,ENST00000268053
CYP11A1,ENSG00000140459,ENST00000466978
CYP11A1,ENSG00000140459,ENST00000435365
CYP11A1,ENSG00000140459,ENST00000416978
CYP11A1,ENSG00000140459,ENST00000450547
FANCI,ENSG00000140525,ENST00000447611
FANCI,ENSG00000140525,ENST00000566615
FANCI,ENSG00000140525,ENST00000561894
FANCI,ENSG00000140525,ENST00000565522
FANCI,ENSG00000140525,ENST00000300027
FANCI,ENSG00000140525,ENST00000310775
FANCI,ENSG00000140525,ENST00000566895
IQGAP1,ENSG00000140575,ENST00000268182
RP11-154B12.3,ENSG00000259177,ENST00000560578
IQGAP1,ENSG00000140575,ENST00000559809
IQGAP1,ENSG00000140575,ENST00000560738
IQGAP1,ENSG00000140575,ENST00000560418
NDUFA3P4,ENSG00000259262,ENST00000560814
MCTP2,ENSG00000140563,ENST00000557505
MCTP2,ENSG00000140563,ENST00000456504
MCTP2,ENSG00000140563,ENST00000557742
MCTP2,ENSG00000140563,ENST00000357742
MCTP2,ENSG00000140563,ENST00000451018
ABCC6,ENSG00000091262,ENST00000205557
ABCC6,ENSG00000091262,ENST00000577103
ABCC6,ENSG00000091262,ENST00000456970
ABCC6,ENSG00000091262,ENST00000622290
ABCC6,ENSG00000091262,ENST00000574094
,,ENSR00001873662
FBXL19,ENSG00000099364,ENST00000471231
AC135048.13,ENSG00000261487,ENST00000566056
FBXL19,ENSG00000099364,ENST00000566320
ORAI3,ENSG00000175938,ENST00000318663
FBXL19,ENSG00000099364,ENST00000380310
FBXL19,ENSG00000099364,ENST00000338343
ORAI3,ENSG00000175938,ENST00000562699
FBXL19,ENSG00000099364,ENST00000565690
ORAI3,ENSG00000175938,ENST00000566237
AC135048.13,ENSG00000261487,ENST00000562642
FBXL19,ENSG00000099364,ENST00000562319
ORAI3,ENSG00000175938,ENST00000563161
FBXL19,ENSG00000099364,ENST00000427128
FBXL19,ENSG00000099364,ENST00000565939
,,ENSR00001876054
SHCBP1,ENSG00000171241,ENST00000569702
SHCBP1,ENSG00000171241,ENST00000303383
SHCBP1,ENSG00000171241,ENST00000565887
RP11-46D6.1,ENSG00000261512,ENST00000562549
SHCBP1,ENSG00000171241,ENST00000566016
RP11-46D6.1,ENSG00000261512,ENST00000574180
SHCBP1,ENSG00000171241,ENST00000564272
,,ENSR00001876476
KIFC3,ENSG00000140859,ENST00000543930
KATNB1,ENSG00000140854,ENST00000569018
KATNB1,ENSG00000140854,ENST00000379661
KIFC3,ENSG00000140859,ENST00000563266
KIFC3,ENSG00000140859,ENST00000565397
KIFC3,ENSG00000140859,ENST00000565753
KIFC3,ENSG00000140859,ENST00000564136
KATNB1,ENSG00000140854,ENST00000562542
KIFC3,ENSG00000140859,ENST00000562903
KIFC3,ENSG00000140859,ENST00000540079
KIFC3,ENSG00000140859,ENST00000379655
KIFC3,ENSG00000140859,ENST00000565270
KIFC3,ENSG00000140859,ENST00000445690
CTD-2600O9.2,ENSG00000276166,ENST00000613495
KATNB1,ENSG00000140854,ENST00000563462
KIFC3,ENSG00000140859,ENST00000421376
KIFC3,ENSG00000140859,ENST00000541240
KIFC3,ENSG00000140859,ENST00000465878
KATNB1,ENSG00000140854,ENST00000566611
KIAA0513,ENSG00000135709,ENST00000562580
KIAA0513,ENSG00000135709,ENST00000567328
KIAA0513,ENSG00000135709,ENST00000562564
KIAA0513,ENSG00000135709,ENST00000258180
KIAA0513,ENSG00000135709,ENST00000566428
KIAA0513,ENSG00000135709,ENST00000538274
KIAA0513,ENSG00000135709,ENST00000562388
,,ENSR00001882275
CBFA2T3,ENSG00000129993,ENST00000569443
CBFA2T3,ENSG00000129993,ENST00000563640
CBFA2T3,ENSG00000129993,ENST00000562719
CBFA2T3,ENSG00000129993,ENST00000564416
CBFA2T3,ENSG00000129993,ENST00000327483
CBFA2T3,ENSG00000129993,ENST00000570046
CBFA2T3,ENSG00000129993,ENST00000268679
CBFA2T3,ENSG00000129993,ENST00000569464
PIK3R6,ENSG00000276231,ENST00000614407
PIK3R6,ENSG00000276231,ENST00000619866
PIK3R6,ENSG00000276231,ENST00000611951
PIK3R6,ENSG00000276231,ENST00000613555
SLC47A2,ENSG00000180638,ENST00000483510
SLC47A2,ENSG00000180638,ENST00000325411
SLC47A2,ENSG00000180638,ENST00000456947
SLC47A2,ENSG00000180638,ENST00000463318
SLC47A2,ENSG00000180638,ENST00000467379
SLC47A2,ENSG00000180638,ENST00000574239
SLC47A2,ENSG00000180638,ENST00000433844
SLC47A2,ENSG00000180638,ENST00000574220
SLC47A2,ENSG00000180638,ENST00000350657
SLC47A2,ENSG00000180638,ENST00000467609
,,ENSR00001887105
,,ENSR00001342552
CPD,ENSG00000108582,ENST00000584050
CPD,ENSG00000108582,ENST00000543464
CPD,ENSG00000108582,ENST00000580396
CPD,ENSG00000108582,ENST00000225719
CPD,ENSG00000108582,ENST00000584051
CPD,ENSG00000108582,ENST00000584221
CPD,ENSG00000108582,ENST00000579502
AP2B1,ENSG00000006125,ENST00000620039
AP2B1,ENSG00000006125,ENST00000616681
AP2B1,ENSG00000006125,ENST00000610402
AP2B1,ENSG00000006125,ENST00000618940
AP2B1,ENSG00000006125,ENST00000621914
AMZ2,ENSG00000196704,ENST00000580753
AMZ2,ENSG00000196704,ENST00000577866
AMZ2,ENSG00000196704,ENST00000577985
AMZ2,ENSG00000196704,ENST00000578175
AMZ2,ENSG00000196704,ENST00000359783
AMZ2,ENSG00000196704,ENST00000577273
